candidate_id,train_valid_expiries,train_gated_trades,train_gate_rate,train_mean_pnl_per_expiry,train_mean_pnl_per_gated,train_win_rate,train_es95,train_es99,train_worst_pnl,feasible,split,selected_candidate_id
Q19p5_35p0_65p0_82p0,77,40,0.5194805194805194,568.1248823051978,1093.6403984375058,0.675,10205.967514635671,10739.11073033871,-35578.12718750011,False,split_b,Q22p0_33p0_67p0_78p0
Q20p0_33p0_67p0_80p0,77,39,0.5064935064935064,356.8211120129893,704.4929647435943,0.7692307692307693,9870.343847311839,10371.859291371447,-39326.85218750011,False,split_b,Q22p0_33p0_67p0_78p0
Q20p0_33p5_66p5_80p0,77,39,0.5064935064935064,333.8173741883132,659.0753285256442,0.7692307692307693,10039.600841343812,10550.867864062207,-39326.85218750011,False,split_b,Q22p0_33p0_67p0_78p0
Q20p0_34p0_66p0_80p0,77,39,0.5064935064935064,301.40138392857295,595.0745272435929,0.7435897435897436,10013.259590661128,10503.643836201267,-39326.85218750011,False,split_b,Q22p0_33p0_67p0_78p0
Q20p0_34p5_65p5_80p0,77,39,0.5064935064935064,201.3358198051961,397.5091826923104,0.7435897435897436,9996.99732110995,10443.8745290454,-40605.60218750011,False,split_b,Q22p0_33p0_67p0_78p0
Q20p0_35p0_65p0_80p0,77,36,0.4675324675324675,411.2044967532486,879.5207291666705,0.7777777777777778,10142.246089093618,10576.983069173182,-40605.60218750011,True,split_b,Q22p0_33p0_67p0_78p0
Q20p0_35p0_65p0_80p5,77,38,0.4935064935064935,418.1096509740285,847.222187500005,0.7368421052631579,10293.133720821754,10778.980113605414,-40605.60218750011,False,split_b,Q22p0_33p0_67p0_78p0
Q20p0_35p0_65p0_81p0,77,38,0.4935064935064935,321.8748133116908,652.2200164473734,0.6578947368421053,10339.791876100124,10846.263276476186,-40605.60218750011,False,split_b,Q22p0_33p0_67p0_78p0
Q20p0_35p0_65p0_81p5,77,38,0.4935064935064935,354.30997564935313,717.9438980263208,0.631578947368421,10311.160573000576,10814.806500876064,-35578.12718750011,False,split_b,Q22p0_33p0_67p0_78p0
Q20p0_35p0_65p0_82p0,77,40,0.5194805194805194,420.0261810064964,808.5503984375057,0.65,10207.876418509519,10737.636910692425,-35578.12718750011,False,split_b,Q22p0_33p0_67p0_78p0
Q20p0_35p5_64p5_80p0,77,37,0.4805194805194805,287.6243262987031,598.5695439189228,0.7027027027027027,10243.112637605145,10685.031526529958,-38637.78968750011,False,split_b,Q22p0_33p0_67p0_78p0
Q20p0_36p0_64p0_80p0,77,38,0.4935064935064935,332.98446834415734,674.7316858552664,0.7105263157894737,10150.965905668461,10608.393209481152,-38637.78968750011,False,split_b,Q22p0_33p0_67p0_78p0
Q20p0_36p5_63p5_80p0,77,38,0.4935064935064935,359.17359172078073,727.7991200657926,0.7105263157894737,10387.067047615541,10910.82419213096,-38637.78968750011,False,split_b,Q22p0_33p0_67p0_78p0
Q20p0_37p0_63p0_80p0,77,38,0.4935064935064935,358.90573457792357,727.256356907898,0.6842105263157895,10491.714940914184,11036.640819439273,-38637.78968750011,False,split_b,Q22p0_33p0_67p0_78p0
Q20p5_35p0_65p0_79p5,77,39,0.5064935064935064,566.7206818181832,1118.9100641025664,0.7948717948717948,10057.688216577155,10519.471493600027,-40605.60218750011,True,split_b,Q22p0_33p0_67p0_78p0
Q21p0_33p0_67p0_79p0,77,42,0.5454545454545454,605.1700892857164,1109.4784970238134,0.7857142857142857,9915.710830390974,10440.419780201348,-39326.85218750011,True,split_b,Q22p0_33p0_67p0_78p0
Q21p0_34p0_66p0_79p0,77,42,0.5454545454545454,549.7503612013,1007.8756622023839,0.7857142857142857,10109.252726433971,10646.394177597947,-39326.85218750011,True,split_b,Q22p0_33p0_67p0_78p0
Q21p0_35p0_65p0_79p0,77,40,0.5194805194805194,598.8527597402608,1152.7915625000026,0.8,10146.926214520417,10650.32521126624,-40605.60218750011,True,split_b,Q22p0_33p0_67p0_78p0
Q21p0_36p0_64p0_79p0,77,42,0.5454545454545454,516.6698092532476,947.2279836309542,0.7142857142857143,10056.099500376691,10530.517328212192,-38637.78968750011,False,split_b,Q22p0_33p0_67p0_78p0
Q21p0_37p0_63p0_79p0,77,40,0.5194805194805194,369.4967086038972,711.2811640625021,0.675,10144.805439897516,10617.556182208185,-38637.78968750011,False,split_b,Q22p0_33p0_67p0_78p0
Q21p5_35p0_65p0_78p5,77,40,0.5194805194805194,462.0254383116916,889.3989687500067,0.775,10384.477045718504,10958.008772391273,-40605.60218750011,True,split_b,Q22p0_33p0_67p0_78p0
Q22p0_33p0_67p0_78p0,77,41,0.5324675324675324,470.3674188311719,883.3729573170785,0.7804878048780488,9815.255626882546,10283.933375844403,-39326.85218750011,True,split_b,Q22p0_33p0_67p0_78p0
Q22p0_34p0_66p0_78p0,77,41,0.5324675324675324,414.94769074675526,779.2920045731751,0.7804878048780488,10178.477209407678,10725.255192112867,-39326.85218750011,False,split_b,Q22p0_33p0_67p0_78p0
Q22p0_35p0_65p0_78p0,77,40,0.5194805194805194,388.2034253246774,747.2915937500039,0.775,10527.25632801592,11147.49167868082,-40605.60218750011,False,split_b,Q22p0_33p0_67p0_78p0
Q22p0_36p0_64p0_78p0,77,40,0.5194805194805194,331.1944967532488,637.549406250004,0.7,10400.213885007946,10931.718616234799,-38637.78968750011,False,split_b,Q22p0_33p0_67p0_78p0
Q22p0_37p0_63p0_78p0,77,38,0.4935064935064935,189.97918831169048,384.9578289473728,0.631578947368421,10250.716372456336,10679.838584973486,-38637.78968750011,False,split_b,Q22p0_33p0_67p0_78p0
